FILING_ID,AMEND_ID,LINE_ITEM,REC_TYPE,FORM_TYPE,TRAN_ID,AMOUNT,EXP_DATE,EXPN_DSCR,MEMO_CODE,MEMO_REFNO,DATE_THRU
602686,0,1,S496,F496,4768,308,2/29/2000 12:00:00 AM,POSTAGE FOR SLATE CARD,,,
602691,0,1,S496,F496,4778,1509.97,2/29/2000 12:00:00 AM,POSTAGE FOR POSTCARD & SLATECARD,,,
602693,0,1,S496,F496,4782,4840,2/29/2000 12:00:00 AM,POSTCARD,,,
602695,0,1,S496,F496,4786,10000,3/1/2000 12:00:00 AM,MAILER,,,
602697,0,1,S496,F496,4789,395.23,2/28/2000 12:00:00 AM,POSTAGE FOR MAILER,,,
602700,0,1,S496,F496,4792,380.06,2/28/2000 12:00:00 AM,HANDLING FEE FOR MAILER,,,
602702,0,1,S496,F496,4797,61.55,2/29/2000 12:00:00 AM,POSTAGE FOR MAILING,,,
602707,0,1,S496,F496,4800,198.71,2/29/2000 12:00:00 AM,HANDLING FEE FOR MAILING,,,
602712,0,1,S496,F496,4937,24125,3/1/2000 12:00:00 AM,RADIO ADS,,,
602715,0,1,S496,F496,5451,4963.11,2/29/2000 12:00:00 AM,PRINTING FOR PERSUASION MAILER,,,
602717,0,1,S496,F496,5452,631.16,2/29/2000 12:00:00 AM,POSTAGE FOR PERSUASION MAILER,,,
602720,0,1,S496,F496,5264,21373.96,3/1/2000 12:00:00 AM,MAILER,,,
602723,0,1,S496,F496,4746,4755.60,3/1/2000 12:00:00 AM,MAILER - DESIGN PRODUCTION & MAILING FOR MEMBERSHIP COMMUNICATION CAMPAIGN,,,
602726,0,1,S496,F496,4753,4755.59,3/1/2000 12:00:00 AM,MAILER - DESIGN PRODUCTION & MAILING FOR MEMBERSHIP COMMUNICATION CAMPAIGN,,,
602727,0,1,S496,F496,3558,1603,2/25/2000 12:00:00 AM,SLATE MILLER,,,
602728,0,1,S496,F496,3567,1603,2/25/2000 12:00:00 AM,SLATE MILLER,,,
602731,0,1,S496,F496,3573,1603,2/25/2000 12:00:00 AM,SLATE MILLER,,,
602733,0,1,S496,F496,4755,21925.83,2/29/2000 12:00:00 AM,MAILER,,,
602736,0,1,S496,F496,5001,2818,3/2/2000 12:00:00 AM,PAYMENT TO CROUNSE MALCHOW & SCHLACKMAN FOR PRINTING AND POSTAGE FOR MAILERS TO AFSCME MEM,,,
602738,0,1,S496,F496,5054,2818,3/2/2000 12:00:00 AM,PAYMENT TO CROUNSE MALCHOW & SCHLACKMAN FOR PRINTING & POSTAGE FOR MAILERS TO AFSCME MEMBE,,,
602740,0,1,S496,F496,5059,2818,3/2/2000 12:00:00 AM,PAYMENT TO CROUNSE MALCHOW & SCHLACKMAN FOR PRINTING & POSTAGE FOR MAILERS TO  AFSCME MEMB,,,
602741,0,1,S496,F496,4972,1245.56,2/25/2000 12:00:00 AM,SLATE CARD TO MEMBERS,,,
602743,0,1,S496,F496,4982,1188.70,2/26/2000 12:00:00 AM,ESTIMATED COST OF FLYER,,,
602744,0,1,S496,F496,3489,264.88,2/21/2000 12:00:00 AM,PRECINT WALKING AND PHONE BANKING,,,
602745,0,1,S496,F496,3493,595.28,2/22/2000 12:00:00 AM,PRECINT WALKING AND PHONE BANKING,,,
602746,0,1,S496,F496,5465,374.88,2/23/2000 12:00:00 AM,PRECINT WALKING AND PHONE BANKING,,,
602747,0,1,S496,F496,3837,402.53,2/24/2000 12:00:00 AM,POSTAGE AND HANDLING FEE FOR MAILER,,,
602748,0,1,S496,F496,3849,141.81,2/25/2000 12:00:00 AM,COMPOSITION OF MAILER,,,
